nama_makanan,kategori_makanan,jenis_kemasan,lokasi_penyimpanan,sudah_terbuka,hari_berakhir,hari_sejak_dibuka,sisa_hari,label,cara_simpan
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,1,38,4,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Nanas,Produk Minuman,Karton,Pendingin,1,22,7,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Yogurt Greek,Produk Olahan Susu,Plastik,Pendingin,1,4,9,-4,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Nanas,Produk Minuman,Karton,Pendingin,0,123,0,123,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Air Mineral,Produk Minuman,Plastik,Suhu Ruang,0,144,0,144,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Kedelai,Produk Olahan Susu,Kardus,Pendingin,1,152,10,-5,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,1,300,12,5,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,1,161,12,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sosis Ayam,Produk Protein,Plastik,Pendingin,0,36,0,36,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Soda Lemon,Produk Minuman,Kaleng,Suhu Ruang,0,153,0,153,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Sapi,Produk Protein,Plastik,Pembeku,0,15,0,15,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Jus Nanas,Produk Minuman,Karton,Pendingin,1,126,7,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sereal Oat,Produk Kering,Karton,Suhu Ruang,1,46,2,28,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Persik Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,182,0,182,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,0,295,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Soto,Produk Kering,Plastik,Suhu Ruang,1,253,5,-5,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Jus Mangga,Produk Minuman,Karton,Pendingin,1,8,1,0,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,0,70,0,70,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,1,42,1,4,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Keju Cheddar,Produk Olahan Susu,Plastik,Pendingin,1,142,12,1,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Jambu,Produk Minuman,Kardus,Pendingin,1,21,6,-3,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Nugget Sayuran,Produk Protein,Plastik,Pembeku,1,161,3,0,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,0,100,0,100,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Parmesan,Produk Olahan Susu,Plastik,Pendingin,0,328,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,0,360,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Uht Full Cream,Produk Olahan Susu,Karton,Pendingin,0,79,0,79,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Bubuk Bayi,Produk Olahan Susu,Karton,Suhu Ruang,1,22,12,9,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,1,234,12,3,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,1,5,12,4,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Biskuit Oatmeal,Produk Kering,Plastik,Suhu Ruang,0,50,0,50,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Air Soda,Produk Minuman,Plastik,Suhu Ruang,1,62,2,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sosis Sapi,Produk Protein,Plastik,Pendingin,0,20,0,20,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,1,371,12,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Keju Parmesan,Produk Olahan Susu,Plastik,Pendingin,0,170,0,170,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,1,204,1,0,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Buah Cocktail,Produk Kaleng,Kaleng,Suhu Ruang,0,202,0,202,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Sapi,Produk Protein,Plastik,Pendingin,1,16,4,1,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,0,126,0,126,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Evaporasi,Produk Olahan Susu,Kaleng,Pendingin,0,133,0,133,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Tempe,Produk Protein,Plastik,Pembeku,0,102,0,102,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Sosis Ikan,Produk Protein,Plastik,Pendingin,1,39,3,0,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,0,60,0,60,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,0,268,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,0,128,0,128,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,1,230,7,23,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sosis Ayam,Produk Protein,Plastik,Pendingin,1,9,3,2,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Sosis Ayam,Produk Protein,Plastik,Pendingin,1,44,6,-1,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Teh Lemon,Produk Minuman,Karton,Suhu Ruang,1,61,3,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Sirsak,Produk Minuman,Karton,Pendingin,1,149,1,2,Segera,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Biskuit Wafer,Produk Kering,Plastik,Suhu Ruang,1,110,5,0,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Ikan Salmon,Produk Kaleng,Kaleng,Suhu Ruang,0,194,0,194,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Suhu Ruang,0,426,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Bubuk Bayi,Produk Olahan Susu,Karton,Suhu Ruang,0,358,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Persik Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,132,6,-3,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Sereal Oat,Produk Kering,Karton,Suhu Ruang,0,21,0,21,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Uht Vanila,Produk Olahan Susu,Karton,Pendingin,0,65,0,65,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Teh Lemon,Produk Minuman,Karton,Suhu Ruang,1,76,4,-3,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,152,0,152,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Almond,Produk Olahan Susu,Karton,Pendingin,1,51,8,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,0,91,0,91,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Oatmeal,Produk Kering,Plastik,Suhu Ruang,0,54,0,54,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Udang,Produk Protein,Plastik,Pembeku,1,110,6,-3,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Pendingin,0,146,0,146,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Digestive,Produk Kering,Plastik,Suhu Ruang,1,236,2,12,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Sereal Muesli,Produk Kering,Karton,Suhu Ruang,1,267,12,14,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Nugget Tempe,Produk Protein,Plastik,Pembeku,0,83,0,83,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,0,40,0,40,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Ayam,Produk Protein,Plastik,Pendingin,1,27,7,-2,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Jus Apel,Produk Minuman,Karton,Pendingin,1,109,7,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Jambu,Produk Minuman,Karton,Pendingin,0,24,0,24,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Air Soda,Produk Minuman,Plastik,Suhu Ruang,1,169,6,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,1,209,5,-4,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Uht Stroberi,Produk Olahan Susu,Karton,Pendingin,1,62,5,-4,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Marie,Produk Kering,Plastik,Suhu Ruang,0,19,0,19,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,1,354,3,11,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,1,117,5,-4,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,0,179,0,179,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Sapi,Produk Protein,Plastik,Pembeku,0,176,0,176,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Pendingin,0,103,0,103,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,1,63,5,2,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Sosis Bebek,Produk Protein,Plastik,Pendingin,1,10,9,-2,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Cola Original,Produk Minuman,Kaleng,Suhu Ruang,1,109,6,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Yogurt Blueberry,Produk Olahan Susu,Plastik,Pendingin,0,21,0,21,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Keju Cheddar,Produk Olahan Susu,Plastik,Pendingin,1,98,12,1,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,1,27,7,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Leci Dalam Sirup,Produk Kaleng,Kaleng,Suhu Ruang,1,296,1,2,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,0,96,0,96,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Marie,Produk Kering,Plastik,Suhu Ruang,1,177,8,-1,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Nugget Ayam,Produk Protein,Plastik,Pembeku,0,180,0,180,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,0,71,0,71,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,1,276,1,0,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sarden Cabai,Produk Kaleng,Kaleng,Suhu Ruang,1,500,5,-3,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Air Mineral,Produk Minuman,Plastik,Suhu Ruang,0,427,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,0,30,0,30,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,0,20,0,20,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Keju Mozzarella,Produk Olahan Susu,Plastik,Pendingin,1,16,5,2,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,1,458,2,12,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Nugget Sayuran,Produk Protein,Plastik,Pembeku,1,61,6,-3,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Jus Apel,Produk Minuman,Karton,Pendingin,0,155,0,155,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Goreng,Produk Kering,Plastik,Suhu Ruang,1,161,1,-1,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Teh Kotak Hijau,Produk Minuman,Karton,Suhu Ruang,0,238,0,238,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Udang,Produk Protein,Plastik,Pembeku,1,500,3,0,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Susu Evaporasi,Produk Olahan Susu,Kaleng,Pendingin,1,305,8,-1,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Keju Parmesan,Produk Olahan Susu,Plastik,Pendingin,0,179,0,179,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Yogurt Greek,Produk Olahan Susu,Plastik,Pendingin,1,19,8,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Oreo,Produk Kering,Plastik,Suhu Ruang,0,136,0,136,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,1,500,4,-3,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Sirsak,Produk Minuman,Karton,Pendingin,0,23,0,23,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Goreng,Produk Kering,Plastik,Suhu Ruang,0,166,0,166,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Ikan Makerel,Produk Kaleng,Kaleng,Suhu Ruang,0,363,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Uht Full Cream,Produk Olahan Susu,Karton,Pendingin,0,261,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,0,500,0,161,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Ikan Makerel,Produk Kaleng,Kaleng,Suhu Ruang,1,206,2,0,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Teh Botol,Produk Minuman,Botol Kaca,Suhu Ruang,0,82,0,82,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Kedelai,Produk Olahan Susu,Karton,Pendingin,0,24,0,24,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Stroberi,Produk Olahan Susu,Karton,Pendingin,1,69,4,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,0,16,0,16,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Soto,Produk Kering,Plastik,Suhu Ruang,0,209,0,209,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,1,28,1,2,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Teh Botol,Produk Minuman,Botol Kaca,Suhu Ruang,1,351,2,1,Segera,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Teh Lemon,Produk Minuman,Karton,Suhu Ruang,0,91,0,91,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Digestive,Produk Kering,Plastik,Suhu Ruang,1,339,12,-2,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,1,255,6,24,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,1,500,10,20,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Uht Full Cream,Produk Olahan Susu,Karton,Pendingin,0,160,0,160,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Vanila,Produk Olahan Susu,Karton,Pendingin,0,155,0,155,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Keju Parmesan,Produk Olahan Susu,Plastik,Pendingin,0,125,0,125,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Minuman Isotonik,Produk Minuman,Plastik,Suhu Ruang,0,184,0,184,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,0,13,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Evaporasi,Produk Olahan Susu,Kaleng,Pendingin,1,255,3,4,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Wafer,Produk Kering,Plastik,Suhu Ruang,0,144,0,144,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Ayam,Produk Protein,Plastik,Pembeku,0,29,0,29,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Kornet Sapi,Produk Kaleng,Kaleng,Suhu Ruang,1,452,8,-5,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,1,9,6,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,1,26,3,2,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Wafer,Produk Kering,Plastik,Suhu Ruang,0,167,0,167,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,1,465,12,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Almond,Produk Olahan Susu,Karton,Pendingin,0,75,0,75,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Air Soda,Produk Minuman,Plastik,Suhu Ruang,1,296,6,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Nanas,Produk Minuman,Karton,Pendingin,1,64,10,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Mangga,Produk Minuman,Karton,Pendingin,1,30,6,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Yogurt Mangga,Produk Olahan Susu,Plastik,Pendingin,0,13,0,13,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,1,10,8,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Keju Cheddar,Produk Olahan Susu,Plastik,Pendingin,1,4,1,4,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Pendingin,1,4,1,2,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Mangga,Produk Minuman,Karton,Pendingin,0,135,0,135,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Sayuran,Produk Protein,Plastik,Pembeku,1,134,2,1,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Keju Cream Cheese,Produk Olahan Susu,Karton,Pendingin,1,1,12,0,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Mangga,Produk Olahan Susu,Plastik,Pendingin,0,7,0,7,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mangga Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,155,5,-2,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Rambutan Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,121,0,121,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Kornet Sapi,Produk Kaleng,Kaleng,Suhu Ruang,1,251,2,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
